id	name_abbr	name	division	taxonomy	ncbi_taxon_id	genome_assembly	genome_accession	gff	ensembl_db
273	mle	Melibe leonina	MLE	Metazoa;Bilateria;Lophotrochozoa;Mollusca;	76178	NULL	NULL	0	NULL
274	ete	Echinops telfairi	ETE	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Afrotheria;	9371	NULL	NULL	0	NULL
275	smi	Salvia miltiorrhiza	SMI	Viridiplantae;Magnoliophyta;eudicotyledons;Lamiales;	226208	NULL	NULL	0	NULL
276	mmr	Microcebus murinus	MMR	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Cheirogaleidae;	30608	Mmur_3.0	NCBI_Assembly:GCA_000165445.3	0	NULL
277	dma	Daubentonia madagascariensis	DMA	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Daubentoniidae;	31869	DauMad_1.0	NCBI_Assembly:GCA_000241425.1	0	NULL
278	nle	Nomascus leucogenys	NLE	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Hylobatidae;	61853	Nleu_3.0	NCBI_Assembly:GCA_000146795.3	0	NULL
279	sbo	Saimiri boliviensis	SBO	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Cebidae;	39432	SaiBol1.0	NCBI_Assembly:GCA_000235385.1	0	NULL
280	oga	Otolemur garnettii	OGA	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Galagidae;	30611	OtoGar3	NCBI_Assembly:GCA_000181295.3	0	NULL
281	pha	Papio hamadryas	PHA	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Cercopithecidae;	9557	NULL	NULL	0	NULL
282	nfu	Nothobranchius furzeri	NFU	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Teleostei;	105023	NULL	NULL	0	NULL
